Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,
3.2527192825719500,-0.0023061368707441100,10.145593777919800,-0.0006,0.002,0.0,
3.5004387247784700,1.4904101251373100,10.111283180421500,1.4995,4.402,2.578000000000000,
3.556958411429690,1.490457532650640,10.084489532602300,1.4995,4.491,8.968000000000000,
3.5934466824275000,1.490580379526510,10.030900301792800,1.4995,4.517,15.281000000000000,
3.6241239839954600,1.491284261116270,9.951096686477610,1.4995,4.555,21.609,
3.6510465132896100,1.49208076871663,9.88733214357149,1.4995,4.58,27.89,
3.6750450846938300,1.4927055119098100,9.843658840602050,1.4995,4.605,34.187,
3.6969923699942800,1.4902192410780500,9.778250915591950,1.4995,4.631,40.484,
3.7170130801105600,1.4899641978181500,9.73471743346374,1.4995,4.643,46.781,
3.7354390070832500,1.4919122682281500,9.660352944184410,1.4995,4.669,53.062,
3.752536949653980,1.4912604368072600,9.613424813406030,1.4995,4.681,59.359,
3.7685753924698100,1.4904872316615800,9.540883458262050,1.4995,4.694,65.64,
3.7837099659533300,1.4896082691621700,9.486424652847700,1.4995,4.707,71.937,
3.797726897155160,1.4909304676397000,9.478507183247160,1.4995,4.719,78.203,
3.811144891032140,1.491430830223380,9.403174032661000,1.4995,4.745,84.48400000000000,
3.8235607754417300,1.489602617265480,9.371921420253390,1.4995,4.757,90.765,
3.8354488502200200,1.4920934357423500,9.30237094129355,1.4995,4.757,97.031,
3.846878932893600,1.4907634982177600,9.276527511407850,1.4995,4.77,103.312,
3.8576571032579200,1.491502521521770,9.236318416168020,1.4995,4.783,109.578,
3.8675357151433900,1.4896835212283900,9.191893258330760,1.4995,4.796,115.843,
3.8770100632612600,1.4893755743080700,9.131693896898070,1.4995,4.808,122.125,
3.8861671354949400,1.4908380703080000,9.101348619799020,1.4995,4.821,128.39,
3.8945880248573500,1.4918124374914500,9.05129887877643,1.4995,4.821,134.656,
3.9027190051214200,1.490516861756000,9.010594486810300,1.4995,4.834,140.953,
3.909967256086860,1.491386509039570,8.985640577566800,1.4995,4.834,147.21800000000000,
3.9173753728963500,1.4911613184303700,8.944671963018860,1.4995,4.846,153.89,
3.9239119376935500,1.4905771507372200,8.914201232962870,1.4995,4.846,160.265,
3.930202753806300,1.4909343311716300,8.895322087576000,1.4995,4.859,166.64,
3.9358406657287400,1.4905633008179400,8.873915964335550,1.4995,4.859,173.09300000000000,
3.9412613620073800,1.490513496550350,8.85391792442938,1.4995,4.859,179.46800000000000,
3.9460535456958800,1.4929884535465500,8.793562433346230,1.4995,4.872,185.921,
3.9507058994201700,1.4914050639249500,8.770765614606180,1.4995,4.872,192.312,
3.954897912879510,1.4921898060386900,8.746856173951850,1.4995,4.872,198.765,
3.9584990426733600,1.4901624576544500,8.729730153896680,1.4995,4.884,205.171,
3.962049342660300,1.491271551088880,8.692787048540830,1.4995,4.884,211.546,
3.965346060620920,1.4924935626695200,8.669681537748370,1.4995,4.884,217.984,
3.968385453465470,1.4915459807016200,8.639176775512380,1.4995,4.897,224.39,
3.9710921433886500,1.4908758340598300,8.616813218058890,1.4995,4.897,230.828,
3.9740698933417500,1.4918788346322800,8.603639978034100,1.4995,4.897,237.234,
3.976546219962510,1.492051776153240,8.581480080090470,1.4995,4.897,243.625,
3.9790323067633600,1.4907197338244800,8.561872864232290,1.4995,4.91,250.078,
3.981451457963320,1.4914183769099500,8.545637036182620,1.4995,4.91,256.437,
3.9837310758241100,1.4914145648078100,8.520999306675230,1.4995,4.91,262.796,
3.9861104829533100,1.4927554368240100,8.49485472535754,1.4995,4.91,269.203,
